file,path,measured_m,note,use_body_plane,safety_margin_m,code_sha,release_path_mode,width,height,focal_source,f_px,verdict,fit_score,warnings,ground_m,endpoint_m,contour_m,face_m,face_raw_m,spread_m,dx_m,dy_m,dz_m,u_a,u_b,z_a,z_b,dgap_dza,dgap_dzb,dgap_dua,dgap_dub,lever_ratio,dz_shift_a,dz_shift_b,gap_pred_shift,gap_real_shift,px10_m,zsig_m,l_angle,r_angle,l_resid,r_resid,l_gate,r_gate,l_z_edge,l_z_med,r_z_edge,r_z_med,l_extrap_m,r_extrap_m,gates,front_band_px,edge_off_px,contour_points,mask_fill,refer,path_mode,error,seconds
IMG_1275.JPG,photos\IMG_1275.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,4.24,4.251,4.250938699718177,,2.47,0.0,1.845,0.299,3.818,1410.0,2656.0,6.274,2.456,0.990898,-0.804679,-0.000938,0.000367,1.231,-0.026,0.092,-0.0998,-0.113,0.0094,0.2041,1.3,59.5,0.206,0.044,ok,ok,6.274,6.297,2.456,1.893,,,,68/82,2.5/0.9,200/167,0.712/0.826,,on,,6.8
IMG_1275.JPG,photos\IMG_1275.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,4.353,4.356,4.3556354164301725,,2.47,0.0,1.858,0.155,3.936,1409.0,2687.0,6.3,2.364,0.993306,-0.805985,-0.000923,0.000346,1.232,-0.026,0.092,-0.1,-0.113,0.0092,0.0069,1.3,59.5,0.206,0.044,ok,ok,6.274,6.297,2.424,1.893,,,ok:199;ok:196,68/82,3.5/31.9,197/164,0.712/0.826,,off_alt,,7.7
IMG_1276.JPG,photos\IMG_1276.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,4.599,4.605,4.605083801970655,,3.28,0.0,2.558,0.245,3.821,1130.0,2694.0,6.42,2.599,1.000221,-0.701409,-0.001227,0.000497,1.426,0.492,0.362,0.2382,0.247,0.0123,0.1937,18.1,49.9,0.1937,0.0306,ok,ok,6.42,6.052,2.599,2.112,,,,68/80,7.2/5.2,200/143,0.742/0.816,,on,,7.0
IMG_1276.JPG,photos\IMG_1276.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,4.352,4.367,4.366555765368222,,3.28,0.0,2.306,0.362,3.69,1137.0,2689.0,5.928,2.237,1.007976,-0.725496,-0.001079,0.000407,1.389,0.492,0.362,0.2333,0.247,0.0108,0.0015,18.1,49.9,0.1937,0.0306,ok,ok,6.425,6.052,2.603,2.112,,,ok:200;ok:200,68/80,0.2/0.2,200/143,0.742/0.816,,off_alt,,7.8
IMG_1277.JPG,photos\IMG_1277.JPG,3.6,정면,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.707,3.712,3.7120531900676714,,5.13,0.0,3.7,0.197,0.219,1269.0,2796.0,7.169,6.949,0.315224,0.20824,-0.002457,0.002382,1.514,0.417,-0.015,0.1283,0.071,0.0246,0.02,16.5,1.7,0.0636,0.0668,ok,ok,7.169,6.696,6.949,7.001,,,,76/74,8.8/0.9,155/126,0.682/0.795,,on,,6.6
IMG_1277.JPG,photos\IMG_1277.JPG,3.6,정면,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.636,3.642,3.6424812562139994,,5.13,0.0,3.63,0.216,0.212,1255.0,2796.0,6.752,6.964,0.202454,0.325832,-0.002315,0.002387,1.609,0.417,-0.015,0.0795,0.071,0.0239,0.0018,16.5,1.7,0.0636,0.0668,ok,ok,7.159,6.696,6.949,7.001,,,ok:199;ok:196,76/74,22.8/0.9,154/126,0.682/0.795,,off_alt,,7.2
IMG_1278.JPG,photos\IMG_1278.JPG,2.9,정면,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,2.988,2.988,2.9883685679258107,,4.21,0.0,2.983,0.002,0.172,1304.0,2829.0,5.605,5.777,0.186567,0.33626,-0.001922,0.001981,1.802,0.118,0.031,0.0324,0.033,0.0198,0.0224,6.4,0.3,0.0982,0.0667,ok,ok,5.605,5.453,5.777,5.785,,,,78/72,3.0/0.3,143/135,0.681/0.81,,on,,6.7
IMG_1278.JPG,photos\IMG_1278.JPG,2.9,정면,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,2.955,2.955,2.9554336317213425,,4.21,0.0,2.944,0.004,0.259,1305.0,2829.0,5.487,5.746,0.155714,0.36563,-0.001877,0.001966,2.348,0.118,0.031,0.0297,0.033,0.0197,0.0019,6.4,0.3,0.0982,0.0667,ok,ok,5.605,5.453,5.777,5.785,,,ok:200;ok:200,78/72,2.0/0.3,143/135,0.681/0.81,,off_alt,,7.4
IMG_1279.JPG,photos\IMG_1279.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.05,3.05,3.050497798337418,,4.09,0.0,3.05,0.043,0.039,1548.0,2893.0,6.578,6.617,0.147947,0.313897,-0.002259,0.002272,2.122,0.006,0.061,0.02,0.001,0.0227,0.0172,3.1,1.2,0.0489,0.0547,ok,ok,6.578,6.461,6.617,6.65,,,,93/68,2.2/0.2,170/150,0.709/0.829,,on,,6.5
IMG_1279.JPG,photos\IMG_1279.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.049,3.053,3.0531812331711303,,4.09,0.0,3.049,0.164,0.015,1540.0,2893.0,6.572,6.556,0.168446,0.296177,-0.002257,0.002251,1.758,0.006,0.061,0.0191,0.001,0.0226,0.0032,3.1,1.2,0.0489,0.0547,ok,ok,6.577,6.461,6.617,6.65,,,ok:200;ok:200,93/68,10.2/0.2,170/150,0.709/0.829,,off_alt,,7.1
